Sección,Beat #,Texto del guión,Shot (descripción),Stock ID,Duración (s),Inicio,Fin,CapCut Motion,Ref. hoja Shots
MARCA 7 - COOSUR,56,"la que compras en julio proceden de mezclas distintas, ajustadas",Price tags at a market stall with blurred fresh produce,6143948,3.4,02:46.70,02:50.10,PAN UP · 4s,price_tags1
MARCA 7 - COOSUR,57,para que sepan igual.,Price tags at a market stall with blurred fresh produce,6143948,1.4,02:50.10,02:51.50,ZOOM IN SLOW · 4s,price_tags1
MARCA 7 - COOSUR,58,"Un aceite de una sola finca, de una sola cosecha,",A Vibrant Aisle of Colorful Products in a Modern Supermarket,6451901,3.4,02:51.50,02:54.90,PAN RIGHT · 4s,aisle_colorful
MARCA 7 - COOSUR,59,no puede prometerte eso.,A Vibrant Aisle of Colorful Products in a Modern Supermarket,6451901,1.4,02:54.90,02:56.30,ZOOM OUT SLOW · 4s,aisle_colorful
MARCA 7 - COOSUR,60,"Un aceite mezclado sí, porque para eso existe la mezcla.",Bankruptcy news headline in different articles,2439631,3.4,02:56.30,02:59.70,STATIC,news_bankruptcy
MARCA 7 - COOSUR,61,"La etiqueta de la parte trasera suele decir ""Coupage de",Interior of modern natural oil factory,6067479,3.4,02:59.70,03:03.10,PAN LEFT · 4s,modern_oil_factory
MARCA 7 - COOSUR,62,"aceites de oliva vírgenes extra de la Unión Europea"".",Interior of modern natural oil factory,6067479,3.1,03:03.10,03:06.20,DIAGONAL PAN + ZOOM IN · 4s,modern_oil_factory
MARCA 7 - COOSUR,63,Esa frase existe gracias al Reglamento europeo 29/2012 sobre normas,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,03:06.20,03:09.60,ZOOM IN FAST · 2s,shelf_oils
MARCA 7 - COOSUR,64,"de comercialización del aceite de oliva, en vigor desde 2012,",Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,03:09.60,03:13.00,PAN UP · 4s,shelf_oils
MARCA 7 - COOSUR,65,y significa exactamente lo que parece: una combinación de orígenes,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,3.4,03:13.00,03:16.40,ZOOM IN SLOW · 4s,shelf_oils
MARCA 7 - COOSUR,66,que no está obligada a detallar países.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,2.4,03:16.40,03:18.80,PAN RIGHT · 4s,shelf_oils
MARCA 7 - COOSUR,67,Podría ser cien por cien español.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,2.1,03:18.80,03:20.90,ZOOM OUT SLOW · 4s,generic_shelf
MARCA 7 - COOSUR,68,Podría no serlo.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,1,03:20.90,03:21.90,STATIC,network_anim
MARCA 7 - COOSUR,69,"La etiqueta no te lo va a decir, y la",Aerial View of Olive Grove Landscape,6956087,3.4,03:21.90,03:25.30,PAN LEFT · 4s,olive_grove_aerial
MARCA 7 - COOSUR,70,ley no le obliga a decírtelo.,Aerial View of Olive Grove Landscape,6956087,2.1,03:25.30,03:27.40,DIAGONAL PAN + ZOOM IN · 4s,olive_grove_aerial
MARCA 6 - LA ESPANOLA,71,Número 6.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,0.7,03:27.40,03:28.10,ZOOM IN FAST · 2s,shelf_oils
MARCA 6 - LA ESPANOLA,72,La Española.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,0.7,03:28.10,03:28.80,PAN UP · 4s,generic_shelf
MARCA 6 - LA ESPANOLA,73,El otro lado de la misma cooperativa.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,2.4,03:28.80,03:31.20,ZOOM IN SLOW · 4s,network_anim
MARCA 6 - LA ESPANOLA,74,Si acabas de decidir que prefieres La Española a Coosur,Bottles of Cooking Oil,5177810,3.4,03:31.20,03:34.60,PAN RIGHT · 4s,bottles_row
MARCA 6 - LA ESPANOLA,75,"porque el diseño parece más artesanal, tienes que saber algo.",Bottles of Cooking Oil,5177810,3.4,03:34.60,03:38.00,ZOOM OUT SLOW · 4s,bottles_row
MARCA 6 - LA ESPANOLA,76,"Aceites del Sur-Coosur, el grupo que fabrica ambas, es el",Two bottles of olive oil and extra virgin olive,2310359,3.4,03:38.00,03:41.40,STATIC,two_bottles_compare
MARCA 6 - LA ESPANOLA,77,mismo dentro de DCOOP.,Two bottles of olive oil and extra virgin olive,2310359,1.4,03:41.40,03:42.80,PAN LEFT · 4s,two_bottles_compare
MARCA 6 - LA ESPANOLA,78,"Estás comparando dos etiquetas de la misma estructura industrial, no",Close-up of a Bottle with Yellow Cap,3811676,3.4,03:42.80,03:46.20,DIAGONAL PAN + ZOOM IN · 4s,yellow_cap
MARCA 6 - LA ESPANOLA,79,dos filosofías distintas de hacer aceite.,Close-up of a Bottle with Yellow Cap,3811676,2.1,03:46.20,03:48.30,ZOOM IN FAST · 2s,yellow_cap
MARCA 6 - LA ESPANOLA,80,Este es un patrón que vas a ver repetirse varias,Traditional Olive Oil Production,5593361,3.4,03:48.30,03:51.70,PAN UP · 4s,stone_mill
MARCA 6 - LA ESPANOLA,81,"veces en este vídeo, y cada vez que aparece significa",Traditional Olive Oil Production,5593361,3.4,03:51.70,03:55.10,ZOOM IN SLOW · 4s,stone_mill
MARCA 6 - LA ESPANOLA,82,lo mismo: la sensación de estar eligiendo entre competidores reales,Traditional Olive Oil Production,5593361,3.4,03:55.10,03:58.50,PAN RIGHT · 4s,stone_mill
MARCA 6 - LA ESPANOLA,83,"es, en realidad, la misma empresa vendiéndose a sí misma",Traditional Olive Oil Production,5593361,3.4,03:58.50,04:01.90,ZOOM OUT SLOW · 4s,stone_mill
MARCA 6 - LA ESPANOLA,84,"en dos estanterías distintas, a precios ligeramente distintos, para capturar",Traditional Olive Oil Production,5593361,3.4,04:01.90,04:05.30,STATIC,stone_mill
MARCA 6 - LA ESPANOLA,85,tanto al comprador que busca lo barato como al que,Traditional Olive Oil Production,5593361,3.4,04:05.30,04:08.70,PAN LEFT · 4s,stone_mill
MARCA 6 - LA ESPANOLA,86,busca sentirse un poco más selectivo.,Traditional Olive Oil Production,5593361,2.1,04:08.70,04:10.80,DIAGONAL PAN + ZOOM IN · 4s,stone_mill
MARCA 6 - LA ESPANOLA,87,La Española también vende dos líneas bajo el mismo nombre:,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,04:10.80,04:14.20,ZOOM IN FAST · 2s,magnifier_doc
MARCA 6 - LA ESPANOLA,88,"una etiquetada ""Aceite de oliva virgen extra"" y otra simplemente ""Aceite de oliva"".",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,4.5,04:14.20,04:18.70,PAN UP · 4s,magnifier_doc
MARCA 6 - LA ESPANOLA,89,No son el mismo producto.,Workshop with large stone wheel and old equipment for pressing olive oil,2537351,1.7,04:18.70,04:20.40,ZOOM IN SLOW · 4s,olive_press_workshop
MARCA 6 - LA ESPANOLA,90,La segunda es una mezcla de aceite refinado —tratado con,"Archival footage, women working in factories, 1915",98280,3.4,04:20.40,04:23.80,PAN RIGHT · 4s,vintage_factory
MARCA 6 - LA ESPANOLA,91,calor y productos químicos para neutralizar defectos— con un pequeño,"Archival footage, women working in factories, 1915",98280,3.4,04:23.80,04:27.20,ZOOM OUT SLOW · 4s,vintage_factory
MARCA 6 - LA ESPANOLA,92,"porcentaje de aceite virgen añadido después, solo para devolverle algo","Archival footage, women working in factories, 1915",98280,3.4,04:27.20,04:30.60,STATIC,vintage_factory
MARCA 6 - LA ESPANOLA,93,de aroma y un tono dorado reconocible.,"Archival footage, women working in factories, 1915",98280,2.4,04:30.60,04:33.00,PAN LEFT · 4s,vintage_factory
MARCA 6 - LA ESPANOLA,94,"El proceso de refinado industrial pasa por varias etapas: desgomado,","Woman choosing products in supermarket, reading label on bottle of oil",2362890,3.4,04:33.00,04:36.40,DIAGONAL PAN + ZOOM IN · 4s,reading_label2
MARCA 6 - LA ESPANOLA,95,"neutralización con álcali para reducir la acidez, decoloración con arcillas","Woman choosing products in supermarket, reading label on bottle of oil",2362890,3.4,04:36.40,04:39.80,ZOOM IN FAST · 2s,reading_label2
MARCA 6 - LA ESPANOLA,96,"activadas, y una desodorización final con vapor a alta temperatura,","Woman choosing products in supermarket, reading label on bottle of oil",2362890,3.4,04:39.80,04:43.20,PAN UP · 4s,reading_label2
MARCA 6 - LA ESPANOLA,97,"por encima de los doscientos grados, para eliminar cualquier olor.","Woman choosing products in supermarket, reading label on bottle of oil",2362890,3.4,04:43.20,04:46.60,ZOOM IN SLOW · 4s,reading_label2
MARCA 6 - LA ESPANOLA,98,"Al final de ese proceso, lo que queda es un",Close-up of Price Tags at a Market Stall,3520905,3.4,04:46.60,04:50.00,PAN RIGHT · 4s,price_tags2
MARCA 6 - LA ESPANOLA,99,"aceite prácticamente neutro en sabor, color y aroma.",Close-up of Price Tags at a Market Stall,3520905,2.8,04:50.00,04:52.80,ZOOM OUT SLOW · 4s,price_tags2
MARCA 6 - LA ESPANOLA,100,Legalmente puede llamarse aceite de oliva.,Warehouse Forklift Operation,3862405,2.1,04:52.80,04:54.90,STATIC,forklift2
MARCA 6 - LA ESPANOLA,101,No puede llamarse virgen de ninguna manera.,Female worker working in oil factory,1848714,2.4,04:54.90,04:57.30,PAN LEFT · 4s,oil_factory_worker1
MARCA 6 - LA ESPANOLA,102,"Y sin embargo, comparten marca, diseño de botella y estantería,",Person Using an Old Red Calculator,3750206,3.4,04:57.30,05:00.70,DIAGONAL PAN + ZOOM IN · 4s,vintage_calculator1
MARCA 6 - LA ESPANOLA,103,separados solo por una palabra que muchos compradores no leen.,Person Using an Old Red Calculator,3750206,3.4,05:00.70,05:04.10,ZOOM IN FAST · 2s,vintage_calculator1
MARCA 6 - LA ESPANOLA,104,Esto no es exclusivo de La Española.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,2.4,05:04.10,05:06.50,PAN UP · 4s,shelf_oils
MARCA 6 - LA ESPANOLA,105,Es una práctica extendida en casi todo el segmento económico,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,05:06.50,05:09.90,ZOOM IN SLOW · 4s,generic_shelf
MARCA 6 - LA ESPANOLA,106,"del pasillo, y la vas a ver repetirse en varias","Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.4,05:09.90,05:13.30,PAN RIGHT · 4s,generic_shelf
MARCA 6 - LA ESPANOLA,107,de las marcas que vienen a continuación.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,2.4,05:13.30,05:15.70,ZOOM OUT SLOW · 4s,generic_shelf
MARCA 6 - LA ESPANOLA,108,"El aceite refinado, por sí solo, cumple igualmente los requisitos","Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.4,05:15.70,05:19.10,STATIC,network_anim
MARCA 6 - LA ESPANOLA,109,mínimos de seguridad alimentaria para el consumo humano.,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,2.8,05:19.10,05:21.90,PAN LEFT · 4s,network_anim
MARCA 6 - LA ESPANOLA,110,El problema nunca ha sido la seguridad.,Bottles of Cooking Oil,5177810,2.4,05:21.90,05:24.30,DIAGONAL PAN + ZOOM IN · 4s,bottles_row
MARCA 6 - LA ESPANOLA,111,Ha sido siempre la confusión deliberada entre dos productos con nombres casi idénticos.,Two bottles of olive oil and extra virgin olive,2310359,4.5,05:24.30,05:28.80,ZOOM IN FAST · 2s,two_bottles_compare
MARCA 5 - BORGES,112,Número 5.,Close up of olive oil and other cooking oil bottles on a shelf in a supermarket,3472735,0.7,05:28.80,05:29.50,PAN UP · 4s,shelf_oils
MARCA 5 - BORGES,113,Borges.,Aerial View of a Busy Container Port,5883923,0.3,05:29.50,05:29.80,ZOOM IN SLOW · 4s,port_containers
MARCA 5 - BORGES,114,El aceite que tiene que saber igual en cien países a la vez.,"Appearing world map overlay animating above port terminal, glowing arcs routing cargo toward cranes",7558377,4.5,05:29.80,05:34.30,PAN RIGHT · 4s,world_map_port
MARCA 5 - BORGES,115,Borges es una de las mayores exportadoras de aceite de oliva del planeta.,Vast Olive Grove at Sunset,6163120,4.5,05:34.30,05:38.80,ZOOM OUT SLOW · 4s,olive_grove_sunset
MARCA 5 - BORGES,116,"Sus botellas están en supermercados de España, México, Estados Unidos,",Bottled Drink Production Line,5540686,3.4,05:38.80,05:42.20,STATIC,conveyor_bottles
MARCA 5 - BORGES,117,Australia y decenas de países más.,Bottled Drink Production Line,5540686,2.1,05:42.20,05:44.30,PAN LEFT · 4s,conveyor_bottles
MARCA 5 - BORGES,118,"Esa escala es, en sí misma, el problema estructural de este producto concreto.",Automated Beverage Bottling Line,5540725,4.5,05:44.30,05:48.80,DIAGONAL PAN + ZOOM IN · 4s,bottling_line
MARCA 5 - BORGES,119,Un aceite de oliva de verdad cambia de año en año.,Scientist using pipette 4k,1864061,3.8,05:48.80,05:52.60,ZOOM IN FAST · 2s,lab_pipette
MARCA 5 - BORGES,120,"Cambia con la lluvia, con la temperatura de la cosecha,",An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,3.4,05:52.60,05:56.00,PAN UP · 4s,premium_bottle
MARCA 5 - BORGES,121,con el momento exacto de la recolección.,An Exquisite Representation of the Finest Olive Oil: A Harvest Reserve Bottle,6264187,2.4,05:56.00,05:58.40,ZOOM IN SLOW · 4s,premium_bottle
MARCA 5 - BORGES,122,Eso es lo que se supone que debe pasar con un producto agrícola.,Woman Tastes Tea In A Glass And Smiles In Her House,5079112,4.5,05:58.40,06:02.90,PAN RIGHT · 4s,tasting_reaction
MARCA 5 - BORGES,123,Pero una marca que vende el mismo producto en cien,Pouring pure Extra Virgin Olive Oil,606843,3.4,06:02.90,06:06.30,ZOOM OUT SLOW · 4s,bottle_pouring
MARCA 5 - BORGES,124,mercados distintos no puede permitirse esa variación.,Pouring pure Extra Virgin Olive Oil,606843,2.4,06:06.30,06:08.70,STATIC,bottle_pouring
MARCA 5 - BORGES,125,Necesita que la botella que se abre en Madrid sepa,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.4,06:08.70,06:12.10,PAN LEFT · 4s,magnifier_doc
MARCA 5 - BORGES,126,igual que la que se abre en Ciudad de México seis meses después.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,4.5,06:12.10,06:16.60,DIAGONAL PAN + ZOOM IN · 4s,magnifier_doc
MARCA 5 - BORGES,127,"Para conseguir eso, la industria recurre a mezclas grandes y","Executives Reach Handshake Across Meeting Table, Negotiation Scene",7819113,3.4,06:16.60,06:20.00,ZOOM IN FAST · 2s,handshake_negotiation
MARCA 5 - BORGES,128,"estandarizadas, ajustadas en laboratorio para lograr un perfil de sabor","Executives Reach Handshake Across Meeting Table, Negotiation Scene",7819113,3.4,06:20.00,06:23.40,PAN UP · 4s,handshake_negotiation
MARCA 5 - BORGES,129,"""seguro"": ni demasiado amargo, ni demasiado picante, nada que pueda","Executives Reach Handshake Across Meeting Table, Negotiation Scene",7819113,3.4,06:23.40,06:26.80,ZOOM IN SLOW · 4s,handshake_negotiation
MARCA 5 - BORGES,130,sorprender a un consumidor que no espera sorpresas.,"Executives Reach Handshake Across Meeting Table, Negotiation Scene",7819113,2.8,06:26.80,06:29.60,PAN RIGHT · 4s,handshake_negotiation
MARCA 5 - BORGES,131,Es una decisión de negocio completamente racional.,Stock Market Crash Red Arrow Graph Going Down Into Recession,4045992,2.4,06:29.60,06:32.00,ZOOM OUT SLOW · 4s,stock_crash
MARCA 5 - BORGES,132,También es la razón exacta por la que ese aceite,A forklift carries stacked cardboard boxes along a warehouse aisle,8410557,3.4,06:32.00,06:35.40,STATIC,forklift_boxes
MARCA 5 - BORGES,133,nunca te va a picar en la garganta como debería,A forklift carries stacked cardboard boxes along a warehouse aisle,8410557,3.4,06:35.40,06:38.80,PAN LEFT · 4s,forklift_boxes
MARCA 5 - BORGES,134,un virgen extra recién prensado.,A forklift carries stacked cardboard boxes along a warehouse aisle,8410557,1.7,06:38.80,06:40.50,DIAGONAL PAN + ZOOM IN · 4s,forklift_boxes
MARCA 5 - BORGES,135,El Consejo Oleícola Internacional clasifica el aceite de oliva en,"Trees and olive groves in green landscapes, Granada, Spain",7055616,3.4,06:40.50,06:43.90,ZOOM IN FAST · 2s,granada_groves
MARCA 5 - BORGES,136,"categorías según su acidez: virgen extra hasta 0,8%, virgen hasta","Trees and olive groves in green landscapes, Granada, Spain",7055616,3.4,06:43.90,06:47.30,PAN UP · 4s,granada_groves
MARCA 5 - BORGES,137,"2%, y lampante por encima de ese nivel, una categoría","Trees and olive groves in green landscapes, Granada, Spain",7055616,3.4,06:47.30,06:50.70,ZOOM IN SLOW · 4s,granada_groves
MARCA 5 - BORGES,138,que ni siquiera es apta para el consumo directo sin,"Trees and olive groves in green landscapes, Granada, Spain",7055616,3.4,06:50.70,06:54.10,PAN RIGHT · 4s,granada_groves
