Sección,Beat #,Texto del guión,Shot (descripción real),Freepik ID,Duración (s),Inicio,Fin,CapCut Motion,Ref. shot
HOOK,18,tienes en la mano ahora mismo.,Women holding a canned tuna,2476908,2.1,00:53.00,00:55.10,PAN RIGHT · 4s,hand_holding_tuna
HOOK,19,"Hoy vamos a abrir, literalmente, esas siete latas, de la",Animation of network of connections and data processing over dark background,4721014,3.6,00:55.10,00:58.70,ZOOM OUT SLOW · 4s,network_converge
HOOK,20,"peor a la mejor, y te vamos a enseñar quién",Animation of network of connections and data processing over dark background,4721014,3.6,00:58.70,01:02.30,STATIC,network_converge
HOOK,21,fabrica de verdad cada una.,Animation of network of connections and data processing over dark background,4721014,1.8,01:02.30,01:04.10,PAN LEFT · 4s,network_converge
HOOK,22,"Al final, tres marcas que sí son exactamente lo que","A video still of canned goods lined up on a reflective surface, captured from a low angle",7103683,3.6,01:04.10,01:07.70,DIAGONAL PAN + ZOOM IN · 4s,cans_aligned_low
HOOK,23,dicen ser en la etiqueta.,"A video still of canned goods lined up on a reflective surface, captured from a low angle",7103683,1.8,01:07.70,01:09.50,ZOOM IN FAST · 2s,cans_aligned_low
HOOK,24,El Reglamento europeo 1379/2013 obliga a declarar en cada lata,A close-up sequence shows hands opening a pull-tab can of tuna chunks in mineral water,6168409,3.6,01:09.50,01:13.10,PAN UP · 4s,opening_tuna_dramatic
HOOK,25,"la especie exacta, el método de captura y la zona donde se pescó.",A close-up sequence shows hands opening a pull-tab can of tuna chunks in mineral water,6168409,4.6,01:13.10,01:17.70,ZOOM IN SLOW · 4s,opening_tuna_dramatic
HOOK,26,Esa información existe.,Animation of reading glass and text over files,2082900,1.1,01:17.70,01:18.80,PAN RIGHT · 4s,reading_glass_files
HOOK,27,Casi nadie la lee.,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,1.4,01:18.80,01:20.20,ZOOM OUT SLOW · 4s,cans_colorful_shelf
HOOK,28,"Y donde la ley no exige contarte más que eso,",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.6,01:20.20,01:23.80,STATIC,magnifier_doc
HOOK,29,la industria casi nunca te cuenta el resto por su cuenta.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.9,01:23.80,01:27.70,PAN LEFT · 4s,magnifier_doc
HOOK,30,Vamos a abrirlas.,Opening a can of tuna,5044250,1.1,01:27.70,01:28.80,DIAGONAL PAN + ZOOM IN · 4s,opening_tuna_can
MARCA 7 - HACENDADO,31,Número 7.,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,0.7,01:28.80,01:29.50,ZOOM IN FAST · 2s,aisle_dolly
MARCA 7 - HACENDADO,32,Hacendado.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,0.4,01:29.50,01:29.90,PAN UP · 4s,generic_shelf
MARCA 7 - HACENDADO,33,"La marca blanca de Mercadona, la que llevas comprando sin",Canned Tuna,3420831,3.6,01:29.90,01:33.50,ZOOM IN SLOW · 4s,canned_tuna_plain
MARCA 7 - HACENDADO,34,"pensarlo si haces la compra en Mercadona, sea en el",Canned Tuna,3420831,3.6,01:33.50,01:37.10,PAN RIGHT · 4s,canned_tuna_plain
MARCA 7 - HACENDADO,35,pueblo o en la ciudad que sea de España.,Canned Tuna,3420831,3.2,01:37.10,01:40.30,ZOOM OUT SLOW · 4s,canned_tuna_plain
MARCA 7 - HACENDADO,36,Mercadona no fabrica atún.,Closeup of cans moving on a conveyor belt in a food production line,3455151,1.4,01:40.30,01:41.70,STATIC,cannery_conveyor
MARCA 7 - HACENDADO,37,Lo produce a través de lo que la cadena llama,"Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,3.6,01:41.70,01:45.30,PAN LEFT · 4s,network_anim
MARCA 7 - HACENDADO,38,"sus ""interproveedores"", empresas que trabajan en exclusiva bajo contrato a largo plazo.","Central avatar appearing and expanding, sending connecting lines and nodes, showing company network",7618572,4.3,01:45.30,01:49.60,DIAGONAL PAN + ZOOM IN · 4s,network_anim
MARCA 7 - HACENDADO,39,"En el caso concreto del atún, ese interproveedor es Conservas",Animation of reading glass and text over files,2082900,3.6,01:49.60,01:53.20,ZOOM IN FAST · 2s,reading_glass_files
MARCA 7 - HACENDADO,40,"Escurís, una empresa gallega con más de ocho décadas de",Animation of reading glass and text over files,2082900,3.6,01:53.20,01:56.80,PAN UP · 4s,reading_glass_files
MARCA 7 - HACENDADO,41,"historia que, a su vez, forma parte de Jealsa, el",Animation of reading glass and text over files,2082900,3.6,01:56.80,02:00.40,ZOOM IN SLOW · 4s,reading_glass_files
MARCA 7 - HACENDADO,42,mismo grupo que vas a ver reaparecer en el siguiente,Animation of reading glass and text over files,2082900,3.6,02:00.40,02:04.00,PAN RIGHT · 4s,reading_glass_files
MARCA 7 - HACENDADO,43,"puesto de esta lista, vendiendo un producto casi idéntico bajo",Animation of reading glass and text over files,2082900,3.6,02:04.00,02:07.60,ZOOM OUT SLOW · 4s,reading_glass_files
MARCA 7 - HACENDADO,44,una marca completamente distinta al otro lado del Atlántico.,Animation of reading glass and text over files,2082900,3.2,02:07.60,02:10.80,STATIC,reading_glass_files
MARCA 7 - HACENDADO,45,Esto no es un secreto guardado bajo llave: Mercadona y,Stamp with CERTIFIED text of flat style isolated on white background,3982793,3.6,02:10.80,02:14.40,PAN LEFT · 4s,cert_stamp
MARCA 7 - HACENDADO,46,Jealsa lo han hecho público en sus propias memorias de,Stamp with CERTIFIED text of flat style isolated on white background,3982793,3.6,02:14.40,02:18.00,DIAGONAL PAN + ZOOM IN · 4s,cert_stamp
MARCA 7 - HACENDADO,47,"sostenibilidad, presumiendo de que todo el atún en conserva Hacendado",Stamp with CERTIFIED text of flat style isolated on white background,3982793,3.6,02:18.00,02:21.60,ZOOM IN FAST · 2s,cert_stamp
MARCA 7 - HACENDADO,48,"procede de caladeros gestionados de forma responsable, en colaboración con",Stamp with CERTIFIED text of flat style isolated on white background,3982793,3.6,02:21.60,02:25.20,PAN UP · 4s,cert_stamp
MARCA 7 - HACENDADO,49,organizaciones internacionales de pesca sostenible.,Stamp with CERTIFIED text of flat style isolated on white background,3982793,1.8,02:25.20,02:27.00,ZOOM IN SLOW · 4s,cert_stamp
MARCA 7 - HACENDADO,50,El dato está publicado.,Lines showing countries connecting on world map,3071564,1.4,02:27.00,02:28.40,PAN RIGHT · 4s,world_map_lines
MARCA 7 - HACENDADO,51,Lo que no está es en la etiqueta que coges,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,3.6,02:28.40,02:32.00,ZOOM OUT SLOW · 4s,aisle_dolly
MARCA 7 - HACENDADO,52,"del estante, ni en la publicidad de la marca, ni",A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,3.6,02:32.00,02:35.60,STATIC,aisle_dolly
MARCA 7 - HACENDADO,53,en ningún sitio donde un comprador normal vaya a encontrárselo sin buscarlo activamente.,A smooth out-of-focus camera movement travels down a brightly lit retail grocery store aisle,7917819,4.6,02:35.60,02:40.20,PAN LEFT · 4s,aisle_dolly
MARCA 7 - HACENDADO,54,El Reglamento europeo 1169/2011 sobre información alimentaria permite a las,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.6,02:40.20,02:43.80,DIAGONAL PAN + ZOOM IN · 4s,generic_shelf
MARCA 7 - HACENDADO,55,marcas blancas declarar el origen con fórmulas genéricas cuando el,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.6,02:43.80,02:47.40,ZOOM IN FAST · 2s,generic_shelf
MARCA 7 - HACENDADO,56,producto no procede de un proveedor único y fijo.,"Fixed clip of full grocery store shelves, filled with brightly coloured products",6181813,3.2,02:47.40,02:50.60,PAN UP · 4s,generic_shelf
MARCA 7 - HACENDADO,57,"Así que, aunque en este caso concreto sí se puede",Canned Tuna,3420831,3.6,02:50.60,02:54.20,ZOOM IN SLOW · 4s,canned_tuna_plain
MARCA 7 - HACENDADO,58,"averiguar quién fabrica el producto si uno investiga, la ley",Canned Tuna,3420831,3.6,02:54.20,02:57.80,PAN RIGHT · 4s,canned_tuna_plain
MARCA 7 - HACENDADO,59,nunca obligó a que lo supieras leyendo simplemente la lata.,Canned Tuna,3420831,3.6,02:57.80,03:01.40,ZOOM OUT SLOW · 4s,canned_tuna_plain
MARCA 7 - HACENDADO,60,Esto importa porque la confianza que tienes en Hacendado normalmente,Closeup of cans moving on a conveyor belt in a food production line,3455151,3.6,03:01.40,03:05.00,STATIC,cannery_conveyor
MARCA 7 - HACENDADO,61,no está construida sobre saber quién fabrica el atún que,Closeup of cans moving on a conveyor belt in a food production line,3455151,3.6,03:05.00,03:08.60,PAN LEFT · 4s,cannery_conveyor
MARCA 7 - HACENDADO,62,"hay dentro, sino sobre la reputación general de Mercadona como",Closeup of cans moving on a conveyor belt in a food production line,3455151,3.6,03:08.60,03:12.20,DIAGONAL PAN + ZOOM IN · 4s,cannery_conveyor
MARCA 7 - HACENDADO,63,"cadena de supermercados, algo completamente distinto y mucho más difícil",Closeup of cans moving on a conveyor belt in a food production line,3455151,3.6,03:12.20,03:15.80,ZOOM IN FAST · 2s,cannery_conveyor
MARCA 7 - HACENDADO,64,de verificar lata por lata.,Closeup of cans moving on a conveyor belt in a food production line,3455151,1.8,03:15.80,03:17.60,PAN UP · 4s,cannery_conveyor
MARCA 6 - ROBINSON CRUSOE,65,Número 6.,Stunning aerial view of rocky island surrounded by ocean waves,6758697,0.7,03:17.60,03:18.30,ZOOM IN SLOW · 4s,rocky_island_aerial
MARCA 6 - ROBINSON CRUSOE,66,Robinson Crusoe.,Canned tuna on wooden table,2427530,0.7,03:18.30,03:19.00,PAN RIGHT · 4s,canned_tuna_wood
MARCA 6 - ROBINSON CRUSOE,67,El orgullo enlatado de Chile desde 1953.,Lines showing countries connecting on world map,3071564,2.5,03:19.00,03:21.50,ZOOM OUT SLOW · 4s,world_map_lines
MARCA 6 - ROBINSON CRUSOE,68,"Si eres chileno, probablemente creciste con esta marca en tu despensa.",Fishing Boat Cruising In The Blue Sea In To Muxia In Spain,2979449,3.9,03:21.50,03:25.40,STATIC,fishing_boat_galicia
MARCA 6 - ROBINSON CRUSOE,69,Se presenta como algo casi patrimonial: el nombre de una,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.6,03:25.40,03:29.00,PAN LEFT · 4s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,70,"isla real frente a la costa chilena, décadas de historia,",Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.6,03:29.00,03:32.60,DIAGONAL PAN + ZOOM IN · 4s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,71,presencia hoy en más de quince países entre América y Europa.,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.9,03:32.60,03:36.50,ZOOM IN FAST · 2s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,72,"Es, para buena parte de Sudamérica, la definición misma de",Chile national flag waving on flagpole,3091163,3.6,03:36.50,03:40.10,PAN UP · 4s,chile_flag
MARCA 6 - ROBINSON CRUSOE,73,"lo que debería ser una buena lata de atún: cercana, confiable, local.",Chile national flag waving on flagpole,3091163,4.3,03:40.10,03:44.40,ZOOM IN SLOW · 4s,chile_flag
MARCA 6 - ROBINSON CRUSOE,74,"Lo que casi nadie sabe es que, desde 2004, Robinson",Waving Flag of Spain,8567147,3.6,03:44.40,03:48.00,PAN RIGHT · 4s,spain_flag1
MARCA 6 - ROBINSON CRUSOE,75,Crusoe no es chilena.,Waving Flag of Spain,8567147,1.4,03:48.00,03:49.40,ZOOM OUT SLOW · 4s,spain_flag1
MARCA 6 - ROBINSON CRUSOE,76,"Pertenece a Jealsa, una empresa gallega, la misma compañía española",Animation of network of connections and data processing over dark background,4721014,3.6,03:49.40,03:53.00,STATIC,network_converge
MARCA 6 - ROBINSON CRUSOE,77,que fabrica y vende en España bajo el nombre Rianxeira.,Animation of network of connections and data processing over dark background,4721014,3.6,03:53.00,03:56.60,PAN LEFT · 4s,network_converge
MARCA 6 - ROBINSON CRUSOE,78,"Dos marcas, dos continentes, dos historias de origen completamente distintas",Stunning aerial view of rocky island surrounded by ocean waves,6758697,3.6,03:56.60,04:00.20,DIAGONAL PAN + ZOOM IN · 4s,rocky_island_aerial
MARCA 6 - ROBINSON CRUSOE,79,contadas al comprador de cada lado del Atlántico... y la,Stunning aerial view of rocky island surrounded by ocean waves,6758697,3.6,04:00.20,04:03.80,ZOOM IN FAST · 2s,rocky_island_aerial
MARCA 6 - ROBINSON CRUSOE,80,"misma sala de decisiones detrás de ambas, decidiendo qué mezcla",Stunning aerial view of rocky island surrounded by ocean waves,6758697,3.6,04:03.80,04:07.40,PAN UP · 4s,rocky_island_aerial
MARCA 6 - ROBINSON CRUSOE,81,de pescado entra en cada lote y a qué mercado se destina.,Stunning aerial view of rocky island surrounded by ocean waves,6758697,4.3,04:07.40,04:11.70,ZOOM IN SLOW · 4s,rocky_island_aerial
MARCA 6 - ROBINSON CRUSOE,82,Esto no lo convierte automáticamente en un mal producto.,Canned tuna on wooden table,2427530,3.2,04:11.70,04:14.90,PAN RIGHT · 4s,canned_tuna_wood
MARCA 6 - ROBINSON CRUSOE,83,"Jealsa es, de hecho, uno de los mayores procesadores de",Lines showing countries connecting on world map,3071564,3.6,04:14.90,04:18.50,ZOOM OUT SLOW · 4s,world_map_lines
MARCA 6 - ROBINSON CRUSOE,84,"atún de toda Europa, con líneas de su marca Rianxeira",Lines showing countries connecting on world map,3071564,3.6,04:18.50,04:22.10,STATIC,world_map_lines
MARCA 6 - ROBINSON CRUSOE,85,"certificadas bajo el sello MSC de pesca sostenible, un sello",Lines showing countries connecting on world map,3071564,3.6,04:22.10,04:25.70,PAN LEFT · 4s,world_map_lines
MARCA 6 - ROBINSON CRUSOE,86,"verificado por un organismo externo, no autoconcedido por la propia empresa.",Lines showing countries connecting on world map,3071564,3.9,04:25.70,04:29.60,DIAGONAL PAN + ZOOM IN · 4s,world_map_lines
MARCA 6 - ROBINSON CRUSOE,87,Pero cambia radicalmente lo que estás comprando cuando eliges Robinson,Fishing Boat Cruising In The Blue Sea In To Muxia In Spain,2979449,3.6,04:29.60,04:33.20,ZOOM IN FAST · 2s,fishing_boat_galicia
MARCA 6 - ROBINSON CRUSOE,88,"Crusoe pensando en un producto genuinamente chileno e independiente, o",Fishing Boat Cruising In The Blue Sea In To Muxia In Spain,2979449,3.6,04:33.20,04:36.80,PAN UP · 4s,fishing_boat_galicia
MARCA 6 - ROBINSON CRUSOE,89,cuando compras Rianxeira en España pensando en una marca puramente gallega y familiar.,Fishing Boat Cruising In The Blue Sea In To Muxia In Spain,2979449,4.6,04:36.80,04:41.40,ZOOM IN SLOW · 4s,fishing_boat_galicia
MARCA 6 - ROBINSON CRUSOE,90,"Ambas responden, en última instancia, a la misma dirección corporativa,",Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.6,04:41.40,04:45.00,PAN RIGHT · 4s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,91,a la misma estrategia de compras de materia prima y,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.6,04:45.00,04:48.60,ZOOM OUT SLOW · 4s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,92,a las mismas decisiones sobre qué mezcla de orígenes entra,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.6,04:48.60,04:52.20,STATIC,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,93,"en cada lata, sea cual sea la bandera que lleve",Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,3.6,04:52.20,04:55.80,PAN LEFT · 4s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,94,pintada en la etiqueta.,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,1.4,04:55.80,04:57.20,DIAGONAL PAN + ZOOM IN · 4s,factory_workers_pink
MARCA 6 - ROBINSON CRUSOE,95,Una empresa que vende el mismo tipo de producto en,Chile national flag waving on flagpole,3091163,3.6,04:57.20,05:00.80,ZOOM IN FAST · 2s,chile_flag
MARCA 6 - ROBINSON CRUSOE,96,quince países a la vez no puede permitirse depender de,Chile national flag waving on flagpole,3091163,3.6,05:00.80,05:04.40,PAN UP · 4s,chile_flag
MARCA 6 - ROBINSON CRUSOE,97,"una sola captura, de una sola temporada pesquera o de",Chile national flag waving on flagpole,3091163,3.6,05:04.40,05:08.00,ZOOM IN SLOW · 4s,chile_flag
MARCA 6 - ROBINSON CRUSOE,98,un solo barco concreto.,Chile national flag waving on flagpole,3091163,1.4,05:08.00,05:09.40,PAN RIGHT · 4s,chile_flag
MARCA 6 - ROBINSON CRUSOE,99,"Necesita volumen constante, procedente de múltiples orígenes y múltiples campañas,",Waving Flag of Spain,8567147,3.6,05:09.40,05:13.00,ZOOM OUT SLOW · 4s,spain_flag1
MARCA 6 - ROBINSON CRUSOE,100,ajustado para que la lata que se abre en Santiago,Waving Flag of Spain,8567147,3.6,05:13.00,05:16.60,STATIC,spain_flag1
MARCA 6 - ROBINSON CRUSOE,101,sepa parecida a la que se abre en Vigo seis meses después.,Waving Flag of Spain,8567147,4.3,05:16.60,05:20.90,PAN LEFT · 4s,spain_flag1
MARCA 6 - ROBINSON CRUSOE,102,"Eso es exactamente lo que dice, sin usar esas palabras",Animation of network of connections and data processing over dark background,4721014,3.6,05:20.90,05:24.50,DIAGONAL PAN + ZOOM IN · 4s,network_converge
MARCA 6 - ROBINSON CRUSOE,103,"tan directas, la letra pequeña donde el envase declara ""diferentes",Animation of network of connections and data processing over dark background,4721014,3.6,05:24.50,05:28.10,ZOOM IN FAST · 2s,network_converge
MARCA 6 - ROBINSON CRUSOE,104,"orígenes de captura"", una frase que suena administrativa y que",Animation of network of connections and data processing over dark background,4721014,3.6,05:28.10,05:31.70,PAN UP · 4s,network_converge
MARCA 6 - ROBINSON CRUSOE,105,en realidad resume toda la lógica industrial que hay detrás de la marca.,Animation of network of connections and data processing over dark background,4721014,4.6,05:31.70,05:36.30,ZOOM IN SLOW · 4s,network_converge
MARCA 5 - ISABEL,106,Número 5.,Blue world map with growing white network of connected icons on black background,1948107,0.7,05:36.30,05:37.00,PAN RIGHT · 4s,world_map_network
MARCA 5 - ISABEL,107,Isabel.,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,0.4,05:37.00,05:37.40,ZOOM OUT SLOW · 4s,cans_colorful_shelf
MARCA 5 - ISABEL,108,Probablemente la marca de atún más repartida entre países de,Animation of network of connections and data processing over dark background,4721014,3.6,05:37.40,05:41.00,STATIC,network_converge
MARCA 5 - ISABEL,109,habla hispana que existe hoy en el mundo.,Animation of network of connections and data processing over dark background,4721014,2.9,05:41.00,05:43.90,PAN LEFT · 4s,network_converge
MARCA 5 - ISABEL,110,"En España está en cualquier supermercado, grande o pequeño.",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.2,05:43.90,05:47.10,DIAGONAL PAN + ZOOM IN · 4s,magnifier_doc
MARCA 5 - ISABEL,111,"En Ecuador, más de uno de cada cinco atunes que",Animation of reading glass and text over files,2082900,3.6,05:47.10,05:50.70,ZOOM IN FAST · 2s,reading_glass_files
MARCA 5 - ISABEL,112,"se venden en el país es Isabel, una posición prácticamente dominante.",Animation of reading glass and text over files,2082900,3.9,05:50.70,05:54.60,PAN UP · 4s,reading_glass_files
MARCA 5 - ISABEL,113,"Está relanzada con fuerza en Perú, bien implantada en Colombia,",Alert sign attention mark caution icon triangle exclamation mark danger warning emergency hazard,5695539,3.6,05:54.60,05:58.20,ZOOM IN SLOW · 4s,warning_icon
MARCA 5 - ISABEL,114,y desde 2017 presente en México a través de cadenas como Walmart.,Alert sign attention mark caution icon triangle exclamation mark danger warning emergency hazard,5695539,4.3,05:58.20,06:02.50,PAN RIGHT · 4s,warning_icon
MARCA 5 - ISABEL,115,Si tu familia vive repartida entre dos o tres países,Two Cans of Food on a Blue Wooden Tabletop,3680436,3.6,06:02.50,06:06.10,ZOOM OUT SLOW · 4s,two_cans_compare
MARCA 5 - ISABEL,116,"hispanohablantes distintos, es muy probable que más de uno de",Two Cans of Food on a Blue Wooden Tabletop,3680436,3.6,06:06.10,06:09.70,STATIC,two_cans_compare
MARCA 5 - ISABEL,117,esos hogares tenga ahora mismo una lata de Isabel en,Two Cans of Food on a Blue Wooden Tabletop,3680436,3.6,06:09.70,06:13.30,PAN LEFT · 4s,two_cans_compare
MARCA 5 - ISABEL,118,"la despensa, sin que ninguno de los dos sepa que",Two Cans of Food on a Blue Wooden Tabletop,3680436,3.6,06:13.30,06:16.90,DIAGONAL PAN + ZOOM IN · 4s,two_cans_compare
MARCA 5 - ISABEL,119,"están comprando, en la práctica, lo mismo.",Two Cans of Food on a Blue Wooden Tabletop,3680436,2.5,06:16.90,06:19.40,ZOOM IN FAST · 2s,two_cans_compare
MARCA 5 - ISABEL,120,"Isabel pertenece a Conservas Garavilla, una empresa vasca con más",A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,3.6,06:19.40,06:23.00,PAN UP · 4s,cans_colorful_shelf
MARCA 5 - ISABEL,121,de un siglo de historia.,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,1.8,06:23.00,06:24.80,ZOOM IN SLOW · 4s,cans_colorful_shelf
MARCA 5 - ISABEL,122,"Pero Garavilla, a su vez, tiene como accionista de control",Blue world map with growing white network of connected icons on black background,1948107,3.6,06:24.80,06:28.40,PAN RIGHT · 4s,world_map_network
MARCA 5 - ISABEL,123,"a Bolton Group, una multinacional italiana que compró esa posición",Blue world map with growing white network of connected icons on black background,1948107,3.6,06:28.40,06:32.00,ZOOM OUT SLOW · 4s,world_map_network
MARCA 5 - ISABEL,124,mayoritaria al fondo de inversión MCH.,Blue world map with growing white network of connected icons on black background,1948107,2.1,06:32.00,06:34.10,STATIC,world_map_network
MARCA 5 - ISABEL,125,"Bolton Group es también el dueño de Rio Mare, la",A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,3.6,06:34.10,06:37.70,PAN LEFT · 4s,cans_colorful_shelf
MARCA 5 - ISABEL,126,"marca de atún más vendida de Italia, y de Saupiquet,",A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,3.6,06:37.70,06:41.30,DIAGONAL PAN + ZOOM IN · 4s,cans_colorful_shelf
MARCA 5 - ISABEL,127,una de las grandes marcas francesas del sector.,A Colorful Array of Canned Goods on Grocery Store Shelves,6843740,2.9,06:41.30,06:44.20,ZOOM IN FAST · 2s,cans_colorful_shelf
MARCA 5 - ISABEL,128,"Cuando compras Isabel, una parte de ese dinero termina en",Animation of network of connections and data processing over dark background,4721014,3.6,06:44.20,06:47.80,PAN UP · 4s,network_converge
MARCA 5 - ISABEL,129,la misma estructura corporativa que controla el atún líder en,Animation of network of connections and data processing over dark background,4721014,3.6,06:47.80,06:51.40,ZOOM IN SLOW · 4s,network_converge
MARCA 5 - ISABEL,130,"dos de los mercados europeos más grandes fuera de España,",Animation of network of connections and data processing over dark background,4721014,3.6,06:51.40,06:55.00,PAN RIGHT · 4s,network_converge
MARCA 5 - ISABEL,131,algo que ninguna etiqueta de Isabel menciona jamás.,Animation of network of connections and data processing over dark background,4721014,2.9,06:55.00,06:57.90,ZOOM OUT SLOW · 4s,network_converge
MARCA 5 - ISABEL,132,"Aquí conviene detenerse en algo que la ley sí exige,",Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,3.6,06:57.90,07:01.50,STATIC,magnifier_doc
MARCA 5 - ISABEL,133,aunque casi nadie se moleste en mirarlo.,Close-Up of a Magnifying Glass on an Aged Document Highlighting Detailed Text and Graphs,8534240,2.5,07:01.50,07:04.00,PAN LEFT · 4s,magnifier_doc
MARCA 5 - ISABEL,134,El Reglamento europeo 1379/2013 obliga a que cada lata declare,Animation of reading glass and text over files,2082900,3.6,07:04.00,07:07.60,DIAGONAL PAN + ZOOM IN · 4s,reading_glass_files
MARCA 5 - ISABEL,135,"la especie exacta, el arte de pesca usado y la",Animation of reading glass and text over files,2082900,3.6,07:07.60,07:11.20,ZOOM IN FAST · 2s,reading_glass_files
MARCA 5 - ISABEL,136,zona FAO donde se capturó el pescado.,Animation of reading glass and text over files,2082900,2.5,07:11.20,07:13.70,PAN UP · 4s,reading_glass_files
