Ref.,Titulo,Freepik ID,Tipo,"URL de descarga (firmada, ~1h)"
canned_tuna_wood,Canned tuna on wooden table,2427530,video,https://videocdn.cdnpk.net/videos/29c77dfb-2743-453b-893e-a2bc0f3b2f38/horizontal/downloads/4k.mp4?filename=4863866_Package_Meat_3840x2160.mp4&user_id=102901249&token=exp=1785670257~id=102901249~hmac=031e5a3e2a467bf7084f98cc268a3ac04d04d0b29aa5beef8ceb302b4c02bc5f
world_map_lines,Lines showing countries connecting on world map,3071564,video,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
fishing_boat_galicia,Fishing Boat Cruising In The Blue Sea In To Muxia In Spain,2979449,video,https://videocdn.cdnpk.net/videos/ac9fbe86-18af-40bc-b27e-5ee5ee7afa99/horizontal/downloads/original.mp4?filename=6634072_Fishing_Boat_Fishing_3840x2160.mp4&user_id=102901249&token=exp=1785670260~id=102901249~hmac=b4969d4b3f276db7be1eaffe1fc3323db15148c4660b76c26ee5178f88797df0
factory_workers_pink,Factory Workers in Pink Uniforms Packaging Products on an Automated Assembly Line,8083967,video,https://videocdn.cdnpk.net/videos/a4d1f9ab-6cba-507a-9cff-f3aa371267b4/horizontal/downloads/4k.mp4?filename=0_Factory_Workers_3840x2160.mp4&user_id=102901249&token=exp=1785670261~id=102901249~hmac=ce3d3cece152d5d903ce84ff9adcfdba08197a00512fe692dea0411ec22c2e23
chile_flag,Chile national flag waving on flagpole,3091163,video,https://videocdn.cdnpk.net/videos/226ea4b3-0d43-5bb5-b867-a55baac0f5a3/horizontal/downloads/1080p.mp4?filename=6796173_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670265~id=102901249~hmac=b895bd0e8d921637688e28f3a42fdc42eab31bae01a511de5df463bba54996a3
warning_icon,Alert sign attention mark caution icon triangle exclamation mark danger warning emergency hazard,5695539,video,https://videocdn.cdnpk.net/videos/5fd990c2-531f-5f08-b745-c06d60500e47/horizontal/downloads/original.mp4?filename=0_Icon_Alert_4096x2304.mp4&user_id=102901249&token=exp=1785670268~id=102901249~hmac=455b6c90a8118307b0e3eb10731432bd03a07546cdc59860335c61768aaf3f5a
two_cans_compare,Two Cans of Food on a Blue Wooden Tabletop,3680436,video,https://videocdn.cdnpk.net/videos/608407a8-ba63-547c-aaf0-fd4ba1e23dae/horizontal/downloads/original.mp4?filename=0_Canned_Food_Tin_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670270~id=102901249~hmac=cd955bc6340c5194a086c346fa2c53582a0ba26b254cd5b419d8609880140d2c
share_button_glow,Animated Share Button Glowing on Black Background,7196718,video,https://videocdn.cdnpk.net/videos/8a2aecd5-ba41-520a-9b3d-4ddc87719f2d/horizontal/downloads/1080p.mp4?filename=0_Share_Button_Button_1920x1080.mp4&user_id=102901249&token=exp=1785670271~id=102901249~hmac=0a691051b52b96b74649fabe2537021e1cf1cb1672c1fd6a1a0d5ea01f0b31d2
finger_share_phone,Finger on Share Button on Mobile Phone,4838647,video,https://videocdn.cdnpk.net/videos/d6e393fe-52fe-516d-8689-678b5e0e76d1/horizontal/downloads/4k.mp4?filename=0_Mobile_Phone_Smartphone_3840x2160.mp4&user_id=102901249&token=exp=1785670272~id=102901249~hmac=77614dcb3540fb08cfd94d9b995ba020aeee0d604c20beb76fbfbd8ba8f5b8ac
youtube_share_anim,Premium Youtube Share Animation 1,7055249,video,https://videocdn.cdnpk.net/videos/446e6af4-875c-54ff-90e6-b0468ed4817c/horizontal/downloads/1080p.mp4?filename=0_Internet_Video_1920x1080.mp4&user_id=102901249&token=exp=1785670426~id=102901249~hmac=eb171a1e8a19905e5d8bcf35b9b0971ead1848f258a2ea5f9ba0d9841fde6283
sunflower_oil,Sunflower oil bottle. Cooking oil in glass bottle. Cooking ingredients,1474089,video,https://videocdn.cdnpk.net/videos/8a4e845f-448f-47e1-9205-597e2cace83b/horizontal/downloads/1080p.mp4?filename=4781140_Oil_Sunflower_1920x1080.mp4&user_id=102901249&token=exp=1785670427~id=102901249~hmac=ada415ff89b04f17d3611d0a4a6b77b29e9b85f8cb98805e869dbed76a237c2a
kitchen_scale,Close up of kitchen digital weighing scale displaying zero with metallic container placed on top,5302538,video,https://videocdn.cdnpk.net/videos/19c6a4a7-6a45-5e18-a309-b13ab03a36b3/horizontal/downloads/4k.mp4?filename=0_Scale_Baking_3840x2160.mp4&user_id=102901249&token=exp=1785670429~id=102901249~hmac=c43b157dd28631220da211a2c3caba70bd55a89d963a24ee16f9d9f0c748baed
salt_pouring,Closeup of a Hand Pouring Salt From a Shaker,3479267,video,https://videocdn.cdnpk.net/videos/94150c1a-7913-5c6d-abb7-e5cb22d339b2/horizontal/downloads/original.mp4?filename=0_Salt_Shaker_Salt_1920x1080.mp4&user_id=102901249&token=exp=1785670430~id=102901249~hmac=d838281778b6eac83fe7c864fe7dcabe9881a69b0ed669a6d0be11f964fe57dd
reading_label_store,Person Reading Product Label in Grocery Store,4972749,video,https://videocdn.cdnpk.net/videos/196045c2-f82e-5283-93df-82796225a7e5/horizontal/downloads/4k.mp4?filename=0_Grocery_Store_Shopping_3840x2160.mp4&user_id=102901249&token=exp=1785670472~id=102901249~hmac=651631a77396dd32c3e88f7f78dd94e10b33e4c1f16f02fa2c5bedc69aabeb5c
elegant_table,"Minimalist table setting with white plate, fork, and knife arranged neatly",5070095,video,https://videocdn.cdnpk.net/videos/58ed4e2e-3ba2-50fb-90a8-6cb76acc0d3f/horizontal/downloads/4k.mp4?filename=0_Silverware_Restaurant_3840x2160.mp4&user_id=102901249&token=exp=1785670473~id=102901249~hmac=446b053781168ad539c82fb2b94ceada2038e0800876fabdb73fcd02d75eb33c
deli_shopping,Woman Shopping at an Italian Delicatessen,4874053,video,https://videocdn.cdnpk.net/videos/841cdc3e-97ba-5226-9e55-4b1235e472db/horizontal/downloads/4k.mp4?filename=0_Grocery_Store_Deli_3840x2160.mp4&user_id=102901249&token=exp=1785670475~id=102901249~hmac=0082a82fa20df0cf43b5380e620598ae91cf140b463fff73d238ac0f99109276
canning_machine,"Industrial canning machine tops and seals cans, four aluminum beverage cans move down production line, HD",722777,video,https://videocdn.cdnpk.net/videos/e8ac6a0f-4ed0-4136-ab97-a3993da30ba3/horizontal/downloads/4k.mp4?filename=1783749_Canning_Process_Bottling_3840x2160.mp4&user_id=102901249&token=exp=1785670476~id=102901249~hmac=7fcad061921b080d17e479a0923ba3026293966e210a0c5f89a5574831371567
world_map_network,Blue world map with growing white network of connected icons on black background,1948107,video,https://videocdn.cdnpk.net/videos/c42d91bb-6285-421a-af2c-532340c4f03d/horizontal/downloads/4k.mp4?filename=5436703_Coll_wavebreak_Blue_3840x2160.mp4&user_id=102901249&token=exp=1785670483~id=102901249~hmac=5ff5758beff43317e3830333dd375bc460c5645ded13a5466b3de6719a6256f2
brazil_flag,Brazil Flag Waving Cloth Textured,8588916,video,https://videocdn.cdnpk.net/videos/4d207265-ecb1-5222-9b98-c70b77e0e208/horizontal/downloads/1080p.mp4?filename=0_Brazil_Flag_Brazilian_National_Flag_1920x1080.mp4&user_id=102901249&token=exp=1785670484~id=102901249~hmac=ac595771cba6a6509b3e270b473cc634fdd5de90648338156d49b0eeb2133cef
bar_chart_growth,Animated Bar Chart Showing Progressive Growth of Colorful Data Columns,9083856,video,https://videocdn.cdnpk.net/videos/24ddcfa2-f4cb-59ff-8aa9-b89be2249bb2/horizontal/downloads/original.mp4?filename=0_Bar_Chart_Data_3840x2160.mp4&user_id=102901249&token=exp=1785670486~id=102901249~hmac=e0d6366c015aaf8b0b918cabf165f581a4d7b01038b55b76acb75b6fbd4222db
fish_fillet_worker,Worker slices fish fillet lengthwise with fish tail resting on cutting board,8939865,video,https://videocdn.cdnpk.net/videos/5ae8d13e-e12e-5310-9970-2363c0d90a4f/horizontal/downloads/original.mp4?filename=0_Fish_Fillet_Fish_Tail_3840x2160.mp4&user_id=102901249&token=exp=1785670499~id=102901249~hmac=97f95c6da2735dfc89248380d4b889949874ff57e0d59f84923006d1f867156c
hands_sorting_fish,Hands Sorting Fresh Fish and Adding Ice at a Market,7803085,video,https://videocdn.cdnpk.net/videos/e3f94220-d2c1-5af5-8922-14f9c4a28902/horizontal/downloads/original.mp4?filename=0_Fish_Seafood_3840x2160.mp4&user_id=102901249&token=exp=1785670500~id=102901249~hmac=9d116385b17bb9f4cfc02333c794d99a6365d5bd22a0f441e57d58619ae4c7ef
checklist_anim,Animated Checklist on Clipboard with Stopwatch for Task Completion,7352827,video,https://videocdn.cdnpk.net/videos/46404d5c-937b-57f9-947a-bbcd25bda4cf/horizontal/downloads/original.mp4?filename=0_Checklist_Clipboard_3840x2160.mp4&user_id=102901249&token=exp=1785670502~id=102901249~hmac=8af4e48a03fe07f475ce4bf04abdc7658f96972d249f28cd223258a1153aca69
hand_spoon_tuna,Hands open a can of tuna with a spoon,3420163,video,https://videocdn.cdnpk.net/videos/65a8ddd5-3f0d-5285-9ce0-2947de26e080/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670503~id=102901249~hmac=fb7c2d47c1c41ed42288b2c54180ad04dd742ed4414f8b484c4627c4df60f5ad
