Orden,Timeline,Sección,Ref. shot,Freepik ID,CapCut Motion,"URL de descarga (firmada, ~1h)"
11,(00:28.70-00:32.60),HOOK,cans_colorful_shelf,6843740,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
12,(00:32.60-00:36.20),HOOK,magnifier_doc,8534240,STATIC,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
13,(00:36.20-00:40.10),HOOK,magnifier_doc,8534240,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
14,(00:40.10-00:42.60),HOOK,opening_tuna_can,5044250,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/6212eed0-4fcf-5714-b930-25dd2af70509/horizontal/downloads/original.mp4?filename=0_Tuna_Canned_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670231~id=102901249~hmac=02c9f6befff633b616a7c85013162a7231afcae123122b9b81e2d75aa7f8af48
15,(00:42.60-00:46.20),HOOK,hand_cart_cans,5954197,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/ed9362a8-26b0-5c49-95a1-1aacd85fb8a0/horizontal/downloads/4k.mp4?filename=0_Consumer_Shopper_3840x2160.mp4&user_id=102901249&token=exp=1785670179~id=102901249~hmac=6fbd37c4306b5fe66ac552af4f5d2dcf117cb7148076ddae5e088158c4739307
16,(00:46.20-00:49.40),HOOK,hand_cart_cans,5954197,PAN UP · 4s,https://videocdn.cdnpk.net/videos/ed9362a8-26b0-5c49-95a1-1aacd85fb8a0/horizontal/downloads/4k.mp4?filename=0_Consumer_Shopper_3840x2160.mp4&user_id=102901249&token=exp=1785670179~id=102901249~hmac=6fbd37c4306b5fe66ac552af4f5d2dcf117cb7148076ddae5e088158c4739307
17,(00:49.40-00:53.00),HOOK,hand_holding_tuna,2476908,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/27156b88-c406-4fbb-93ca-466b084a20c1/horizontal/downloads/4k.mp4?filename=4993647_Package_Women_3840x2160.mp4&user_id=102901249&token=exp=1785670222~id=102901249~hmac=37613f8933ddb0cda1a974945a6d81a8dd1bcaa692a71e2c930b562b498c1497
18,(00:53.00-00:55.10),HOOK,hand_holding_tuna,2476908,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/27156b88-c406-4fbb-93ca-466b084a20c1/horizontal/downloads/4k.mp4?filename=4993647_Package_Women_3840x2160.mp4&user_id=102901249&token=exp=1785670222~id=102901249~hmac=37613f8933ddb0cda1a974945a6d81a8dd1bcaa692a71e2c930b562b498c1497
19,(00:55.10-00:58.70),HOOK,network_converge,4721014,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
20,(00:58.70-01:02.30),HOOK,network_converge,4721014,STATIC,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
21,(01:02.30-01:04.10),HOOK,network_converge,4721014,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/8145f714-f14b-5795-91ac-9ee20fb7da3a/horizontal/downloads/1080p.mp4?filename=0_Animation_Network_Connection_1920x1080.mp4&user_id=102901249&token=exp=1785670223~id=102901249~hmac=8f255d8cf87899a21f40bbb288b497fa57a4404add0288857c5ec9dc6ac46bec
22,(01:04.10-01:07.70),HOOK,cans_aligned_low,7103683,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/6770ac80-a5a2-56dd-993d-bde6afbeff10/horizontal/downloads/4k.mp4?filename=0_Vegetables_Setting_3840x2160.mp4&user_id=102901249&token=exp=1785670225~id=102901249~hmac=ce3b67c60fb7786e94947de46597199beb88cbc5a1a10d7d7556457071d140c7
23,(01:07.70-01:09.50),HOOK,cans_aligned_low,7103683,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/6770ac80-a5a2-56dd-993d-bde6afbeff10/horizontal/downloads/4k.mp4?filename=0_Vegetables_Setting_3840x2160.mp4&user_id=102901249&token=exp=1785670225~id=102901249~hmac=ce3b67c60fb7786e94947de46597199beb88cbc5a1a10d7d7556457071d140c7
24,(01:09.50-01:13.10),HOOK,opening_tuna_dramatic,6168409,PAN UP · 4s,https://videocdn.cdnpk.net/videos/7cb99d8f-bd24-5dff-a3df-c3be9f146713/horizontal/downloads/original.mp4?filename=0_Opening_Canned_Tuna_Pulltab_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670226~id=102901249~hmac=e7f1e937f42e7c643f5626b69c6f625919a90d1476c78e4a0538bd79ca144b6e
25,(01:13.10-01:17.70),HOOK,opening_tuna_dramatic,6168409,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/7cb99d8f-bd24-5dff-a3df-c3be9f146713/horizontal/downloads/original.mp4?filename=0_Opening_Canned_Tuna_Pulltab_Can_3840x2160.mp4&user_id=102901249&token=exp=1785670226~id=102901249~hmac=e7f1e937f42e7c643f5626b69c6f625919a90d1476c78e4a0538bd79ca144b6e
26,(01:17.70-01:18.80),HOOK,reading_glass_files,2082900,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
27,(01:18.80-01:20.20),HOOK,cans_colorful_shelf,6843740,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/3ff5d07f-2d4b-5045-8d1f-a8e923095fa5/horizontal/downloads/1080p.mp4?filename=0_Cans_Shelves_1920x1080.mp4&user_id=102901249&token=exp=1785670229~id=102901249~hmac=f42167a11b27ea12c57fc3625a499e3f8537f8884d6835c73ad2e45dc469d031
28,(01:20.20-01:23.80),HOOK,magnifier_doc,8534240,STATIC,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
29,(01:23.80-01:27.70),HOOK,magnifier_doc,8534240,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/f03eb199-150d-55e5-a2c9-fd2d2163ba1f/horizontal/downloads/4k.mp4?filename=0_Magnifying_Glass_3840x2160.mp4&user_id=102901249&token=exp=1785670202~id=102901249~hmac=a0f4601a24d1c2f0c0d636ede8e0539441256b807e123b11adaecc5ec02e44e3
30,(01:27.70-01:28.80),HOOK,opening_tuna_can,5044250,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/6212eed0-4fcf-5714-b930-25dd2af70509/horizontal/downloads/original.mp4?filename=0_Tuna_Canned_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670231~id=102901249~hmac=02c9f6befff633b616a7c85013162a7231afcae123122b9b81e2d75aa7f8af48
31,(01:28.80-01:29.50),MARCA 7 - HACENDADO,aisle_dolly,7917819,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
32,(01:29.50-01:29.90),MARCA 7 - HACENDADO,generic_shelf,6181813,PAN UP · 4s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
33,(01:29.90-01:33.50),MARCA 7 - HACENDADO,canned_tuna_plain,3420831,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
34,(01:33.50-01:37.10),MARCA 7 - HACENDADO,canned_tuna_plain,3420831,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
35,(01:37.10-01:40.30),MARCA 7 - HACENDADO,canned_tuna_plain,3420831,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
36,(01:40.30-01:41.70),MARCA 7 - HACENDADO,cannery_conveyor,3455151,STATIC,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
37,(01:41.70-01:45.30),MARCA 7 - HACENDADO,network_anim,7618572,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/20a5e384-1ab4-5472-b787-ad3d4aa8bab3/horizontal/downloads/original.mp4?filename=0_Avatar_Network_4096x2160.mp4&user_id=102901249&token=exp=1785670200~id=102901249~hmac=bd5194bed5af293b6ecf96bfb8ef81626cd4392998d2afff60917d0f642d9a86
38,(01:45.30-01:49.60),MARCA 7 - HACENDADO,network_anim,7618572,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/20a5e384-1ab4-5472-b787-ad3d4aa8bab3/horizontal/downloads/original.mp4?filename=0_Avatar_Network_4096x2160.mp4&user_id=102901249&token=exp=1785670200~id=102901249~hmac=bd5194bed5af293b6ecf96bfb8ef81626cd4392998d2afff60917d0f642d9a86
39,(01:49.60-01:53.20),MARCA 7 - HACENDADO,reading_glass_files,2082900,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
40,(01:53.20-01:56.80),MARCA 7 - HACENDADO,reading_glass_files,2082900,PAN UP · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
41,(01:56.80-02:00.40),MARCA 7 - HACENDADO,reading_glass_files,2082900,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
42,(02:00.40-02:04.00),MARCA 7 - HACENDADO,reading_glass_files,2082900,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
43,(02:04.00-02:07.60),MARCA 7 - HACENDADO,reading_glass_files,2082900,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
44,(02:07.60-02:10.80),MARCA 7 - HACENDADO,reading_glass_files,2082900,STATIC,https://videocdn.cdnpk.net/videos/0b4fffc9-21ea-4dc0-82cc-86f9204c2f5a/horizontal/downloads/720p.mp4?filename=5572655_Coll_wavebreak_Animation_1280x720.mp4&user_id=102901249&token=exp=1785670227~id=102901249~hmac=47460eaf3517b2c22c5653a08b6f7e1e904c41a3b3face671f54b46e8ee01cca
45,(02:10.80-02:14.40),MARCA 7 - HACENDADO,cert_stamp,3982793,PAN LEFT · 4s,https://delivery.gettyimages.com/downloads/1314159504?e=949yD2JVCtBfFuOTbeuETHbyEUATabYRntIDyKeb5yNGqz18gRqWgfZLhW_BQNA0L45OQyNpL9PbauzJSkcHpSjcJU0snKTgMqHER3Fc_Zq0kmaGdft5a2e6x0vxU1Pq&i=ev2FPUoOK_3cJ8bOOxroLg%3D%3D&k=49&c=uAseB1Cnf_dI25P4QPpsCC6hiJDKc7SVab6_xZL7Eoo%3D
46,(02:14.40-02:18.00),MARCA 7 - HACENDADO,cert_stamp,3982793,DIAGONAL PAN + ZOOM IN · 4s,https://delivery.gettyimages.com/downloads/1314159504?e=949yD2JVCtBfFuOTbeuETHbyEUATabYRntIDyKeb5yNGqz18gRqWgfZLhW_BQNA0L45OQyNpL9PbauzJSkcHpSjcJU0snKTgMqHER3Fc_Zq0kmaGdft5a2e6x0vxU1Pq&i=ev2FPUoOK_3cJ8bOOxroLg%3D%3D&k=49&c=uAseB1Cnf_dI25P4QPpsCC6hiJDKc7SVab6_xZL7Eoo%3D
47,(02:18.00-02:21.60),MARCA 7 - HACENDADO,cert_stamp,3982793,ZOOM IN FAST · 2s,https://delivery.gettyimages.com/downloads/1314159504?e=949yD2JVCtBfFuOTbeuETHbyEUATabYRntIDyKeb5yNGqz18gRqWgfZLhW_BQNA0L45OQyNpL9PbauzJSkcHpSjcJU0snKTgMqHER3Fc_Zq0kmaGdft5a2e6x0vxU1Pq&i=ev2FPUoOK_3cJ8bOOxroLg%3D%3D&k=49&c=uAseB1Cnf_dI25P4QPpsCC6hiJDKc7SVab6_xZL7Eoo%3D
48,(02:21.60-02:25.20),MARCA 7 - HACENDADO,cert_stamp,3982793,PAN UP · 4s,https://delivery.gettyimages.com/downloads/1314159504?e=949yD2JVCtBfFuOTbeuETHbyEUATabYRntIDyKeb5yNGqz18gRqWgfZLhW_BQNA0L45OQyNpL9PbauzJSkcHpSjcJU0snKTgMqHER3Fc_Zq0kmaGdft5a2e6x0vxU1Pq&i=ev2FPUoOK_3cJ8bOOxroLg%3D%3D&k=49&c=uAseB1Cnf_dI25P4QPpsCC6hiJDKc7SVab6_xZL7Eoo%3D
49,(02:25.20-02:27.00),MARCA 7 - HACENDADO,cert_stamp,3982793,ZOOM IN SLOW · 4s,https://delivery.gettyimages.com/downloads/1314159504?e=949yD2JVCtBfFuOTbeuETHbyEUATabYRntIDyKeb5yNGqz18gRqWgfZLhW_BQNA0L45OQyNpL9PbauzJSkcHpSjcJU0snKTgMqHER3Fc_Zq0kmaGdft5a2e6x0vxU1Pq&i=ev2FPUoOK_3cJ8bOOxroLg%3D%3D&k=49&c=uAseB1Cnf_dI25P4QPpsCC6hiJDKc7SVab6_xZL7Eoo%3D
50,(02:27.00-02:28.40),MARCA 7 - HACENDADO,world_map_lines,3071564,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/cf2d6133-fc86-5310-bf03-43a7017aca55/horizontal/downloads/1080p.mp4?filename=6777421_Digital_Animation_Montage_1920x1080.mp4&user_id=102901249&token=exp=1785670258~id=102901249~hmac=72f8485dc168089d16a19097e4f3156977ed9396ee5d45216e2a6a6f573ccaa0
51,(02:28.40-02:32.00),MARCA 7 - HACENDADO,aisle_dolly,7917819,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
52,(02:32.00-02:35.60),MARCA 7 - HACENDADO,aisle_dolly,7917819,STATIC,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
53,(02:35.60-02:40.20),MARCA 7 - HACENDADO,aisle_dolly,7917819,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/2ebb5ed4-724f-551f-a446-03916f39f076/horizontal/downloads/original.mp4?filename=0_Grocery_Store_Supermarket_3840x2160.mp4&user_id=102901249&token=exp=1785670208~id=102901249~hmac=9ba58e1316bf5c6f29d78d116ebcd65729dd85052838005868b1838e04de501f
54,(02:40.20-02:43.80),MARCA 7 - HACENDADO,generic_shelf,6181813,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
55,(02:43.80-02:47.40),MARCA 7 - HACENDADO,generic_shelf,6181813,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
56,(02:47.40-02:50.60),MARCA 7 - HACENDADO,generic_shelf,6181813,PAN UP · 4s,https://videocdn.cdnpk.net/videos/5bc6e637-d5df-5329-939b-70b5273de9fa/horizontal/downloads/1080p.mp4?filename=0_Grocery_Store_1920x1080.mp4&user_id=102901249&token=exp=1785670198~id=102901249~hmac=57a41e07d1fed1102cfb7808b4cff8803be176ae5cab9a76882b5850359a59a4
57,(02:50.60-02:54.20),MARCA 7 - HACENDADO,canned_tuna_plain,3420831,ZOOM IN SLOW · 4s,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
58,(02:54.20-02:57.80),MARCA 7 - HACENDADO,canned_tuna_plain,3420831,PAN RIGHT · 4s,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
59,(02:57.80-03:01.40),MARCA 7 - HACENDADO,canned_tuna_plain,3420831,ZOOM OUT SLOW · 4s,https://videocdn.cdnpk.net/videos/a693ec78-3a3b-527a-bf03-e448a01b4093/horizontal/downloads/original.mp4?filename=0_Canned_Tuna_Tuna_3840x2160.mp4&user_id=102901249&token=exp=1785670234~id=102901249~hmac=640e69800992a8126cfd7d1bf99dab8b0f300210900a047df2a41019b145651c
60,(03:01.40-03:05.00),MARCA 7 - HACENDADO,cannery_conveyor,3455151,STATIC,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
61,(03:05.00-03:08.60),MARCA 7 - HACENDADO,cannery_conveyor,3455151,PAN LEFT · 4s,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
62,(03:08.60-03:12.20),MARCA 7 - HACENDADO,cannery_conveyor,3455151,DIAGONAL PAN + ZOOM IN · 4s,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
63,(03:12.20-03:15.80),MARCA 7 - HACENDADO,cannery_conveyor,3455151,ZOOM IN FAST · 2s,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
64,(03:15.80-03:17.60),MARCA 7 - HACENDADO,cannery_conveyor,3455151,PAN UP · 4s,https://videocdn.cdnpk.net/videos/fd93398d-4779-47bf-a390-a4e9046e0e43/horizontal/downloads/original.mp4?filename=7201506_Farming_Transportation_3840x2160.mp4&user_id=102901249&token=exp=1785670238~id=102901249~hmac=86e76963a493cbb66961882351d2894a3dfc20f97c81ca5c662b6caf8f35621d
